LIDNUM,NAME,LAT,LONG,MAX_AGE,MIN_AGE,NOTES,NB_SPCS,LIST_SPCS

,Early Miocene,,,23.03,15.2,,,
28736,Chibaerwoyi-East (XJULG1709)-2,46.61666666666667,88.5,18.524,18.056,,13,Artiodactyla Anthracotheriidae indet. indet.;Artiodactyla Bovidae Eotragus halamagaiensis;Artiodactyla Bovidae Turcocerus indet.;Artiodactyla Bovidae indet. indet.;Artiodactyla Cervidae Ligeromeryx indet.;Artiodactyla Cervidae Stephanocemas thomsoni;Artiodactyla Giraffidae indet. indet.;Artiodactyla Moschidae Hispanomeryx indet.;Artiodactyla Moschidae Micromeryx indet.;Perissodactyla Equidae Anchitherium aurelianense;Perissodactyla Rhinocerotidae Chilotherium indet.;Proboscidea Gomphotheriidae Choerolophodon indet.;Proboscidea Gomphotheriidae Platybelodon danovi
27706,Dagshai,30.879722222222203,77.045,20.44,15.97,,8,Artiodactyla Anthracotheriidae Parabrachyodus hyopotamoides;Artiodactyla Anthracotheriidae Sivameryx palaeindicus;Artiodactyla Giraffidae Giraffokeryx punjabiensis;Artiodactyla Suidae Tetraconodon indet.;Artiodactyla Tragulidae Dorcatherium minus;Perissodactyla Rhinocerotidae Brachypotherium indet.;Proboscidea Deinotheriidae Deinotherium sindiense;Proboscidea Gomphotheriidae indet. indet.
28734,Damiao 16,42,111.55,21.083,20.213,,5,Artiodactyla Cervidae Lagomeryx indet.;Artiodactyla Cervidae Stephanocemas sp.;Artiodactyla Cervidae indet. indet.;Artiodactyla Moschidae Micromeryx indet.;Perissodactyla Rhinocerotidae indet. indet.
26496,Danghe-xishuigou,39.5,95,19.722,18.056,,4,Artiodactyla Bovidae Turcocerus indet.;Artiodactyla Hoplitomerycidae Amphimoschus artenensis;Primates Catarrhini Kansupithecus indet.;Proboscidea Gomphotheriidae Platybelodon dangheensis
26595,Dera Bugti 3bis,29,69,23.03,20.44,,6,Perissodactyla Chalicotheriidae Schizotherium pilgrimi;Perissodactyla Rhinocerotidae Bugtirhinus praecursor;Perissodactyla Rhinocerotidae Dicerorhinus abeli;Perissodactyla Rhinocerotidae Dicerorhinus shahbazi;Perissodactyla Rhinocerotidae Plesiaceratherium naricum;Proboscidea Deinotheriidae Prodeinotherium indet.
21667,Dera Bugti 4,29.033,69.15,19.5,17.2,,18,Artiodactyla Anthracotheriidae Parabrachyodus hyopotamoides;Artiodactyla Anthracotheriidae Sivameryx palaeindicus;Artiodactyla Suidae Bunolistriodon affinis;Artiodactyla Tragulidae Dorcatherium indet.;Artiodactyla Tragulidae Siamotragulus bugtiensis;Artiodactyla Tragulidae Siamotragulus indicus;Perissodactyla Chalicotheriidae Phyllotillon nariscus;Perissodactyla Chalicotheriidae Schizotherium pilgrimi;Perissodactyla Rhinocerotidae Brachypotherium perimense;Perissodactyla Rhinocerotidae Bugtirhinus praecursor;Perissodactyla Rhinocerotidae Caementodon oettingenae;Perissodactyla Rhinocerotidae Dicerorhinus abeli;Perissodactyla Rhinocerotidae Dicerorhinus shahbazi;Perissodactyla Rhinocerotidae Plesiaceratherium indet.;Perissodactyla Rhinocerotidae Pleuroceros blanfordi;Perissodactyla Rhinocerotidae Protaceratherium indet.;Proboscidea Deinotheriidae Prodeinotherium pentapotamiae;Proboscidea Gomphotheriidae Gomphotherium indet.
21668,Dera Bugti 5,29.033,69.15,19.5,17.2,,7,Artiodactyla Anthracotheriidae Parabrachyodus hyopotamoides;Artiodactyla Anthracotheriidae Sivameryx palaeindicus;Perissodactyla Rhinocerotidae Aprotodon fatehjangense;Proboscidea Deinotheriidae Prodeinotherium pentapotamiae;Proboscidea Gomphotheriidae Choerolophodon corrugatus;Proboscidea Gomphotheriidae Gomphotherium cooperi;Proboscidea Mammutidae Miomastodon metachinjiensis
21669,Dera Bugti 6,29.033,69.15,17.2,16.4,,16,Artiodactyla Bovidae Eotragus minus;Artiodactyla Giraffidae Progiraffa exigua;Artiodactyla Suidae Bunolistriodon guptai;Artiodactyla Tragulidae Dorcabune welcommi;Artiodactyla Tragulidae Dorcatherium parvum;Artiodactyla Tragulidae Siamotragulus indicus;Perissodactyla Rhinocerotidae Brachypotherium perimense;Perissodactyla Rhinocerotidae Dicerorhinus abeli;Perissodactyla Rhinocerotidae Dicerorhinus shahbazi;Perissodactyla Rhinocerotidae Hoploaceratherium indet.;Perissodactyla Rhinocerotidae Pleuroceros blanfordi;Proboscidea Deinotheriidae Prodeinotherium pentapotamiae;Proboscidea Gomphotheriidae Choerolophodon corrugatus;Proboscidea Gomphotheriidae Gomphotherium browni;Proboscidea Gomphotheriidae Protanancus chinjiensis;Proboscidea Mammutidae Miomastodon metachinjiensis
26498,Guanghe-dalanggou,35.466666666666704,103.466666666667,17,15.2,,3,Artiodactyla Suidae Kubanochoerus indet.;Perissodactyla Rhinocerotidae Alicornops indet.;Proboscidea Gomphotheriidae Gomphotherium indet.
26499,Guanghe-wangshijie,35.5166666666667,103.5,17,15.2,,5,Perissodactyla Chalicotheriidae Chalicotherium indet.;Perissodactyla Equidae Anchitherium indet.;Perissodactyla Rhinocerotidae Alicornops laogouense;Perissodactyla Rhinocerotidae Hispanotherium matritense;Proboscidea Gomphotheriidae Gomphotherium indet.
24048,Hang Mon I,20.936,104.37,23.03,20.44,,6,Artiodactyla Suidae Hyotherium youngi;Artiodactyla Tragulidae Dorcabune indet.;Artiodactyla Tragulidae Dorcatherium indet.;Perissodactyla Rhinocerotidae Bugtirhinus indet.;Perissodactyla Rhinocerotidae Pleuroceros blanfordi;Perissodactyla Rhinocerotidae Protaceratherium indet.
24505,Lanzhou-zhangjiaping,36,104,22.8,20,,4,Artiodactyla Entelodontidae Paraentelodon indet.;Perissodactyla Chalicotheriidae Phyllotillon huangheensis;Perissodactyla Rhinocerotidae Aprotodon lanzhouensis;Proboscidea Gomphotheriidae indet. indet.
24054,Li Mae Long,17.7128,98.9063888888889,17.2,16.4,,8,Artiodactyla Bovidae Homoiodorcas indet.;Artiodactyla Cervidae Stephanocemas rucha;Artiodactyla Suidae Sivachoerus sindiensis;Artiodactyla Tragulidae Siamotragulus haripounchai;Perissodactyla Rhinocerotidae indet. indet.;Primates Lorisidae Nycticebus linglom;Primates Tarsiidae Tarsius thailandicus;Proboscidea Stegodontidae Stegolophodon indet.
23194,Mae Soi,19.333,97.833,17.2,16.4,,5,Artiodactyla Anthracotheriidae indet. indet.;Artiodactyla Suidae indet. indet.;Artiodactyla Tragulidae indet. indet.;Perissodactyla Rhinocerotidae indet. indet.;Proboscidea Gomphotheriidae Archaeobelodon indet.
