MSW_TAXON	TAXON	ORDER	FAMILY	HYP	LOP	FCT_HOD	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM	OO	ETH	LOPT
Antilocapra americana	Antilocapra americana	Artiodactyla	Antilocapridae	3	2	1	0	1	0	0	0	1	0	0
Addax nasomaculatus	Addax nasomaculatus	Artiodactyla	Bovidae	3	2	1	0	1	1	0	0	0	0	0
Aepyceros melampus	Aepyceros melampus	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	1	0	0
Alcelaphus buselaphus	Alcelaphus buselaphus	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	0	0	0
Alcelaphus caama	Alcelaphus caama	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	0	0	0
Alcelaphus lichtensteinii	Alcelaphus lichtensteinii	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	0	0	0
Ammodorcas clarkei	Ammodorcas clarkei	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	1	0	0
Ammotragus lervia	Ammotragus lervia	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	1	0	0
Antidorcas marsupialis	Antidorcas marsupialis	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	1	0	0
Antilope cervicapra	Antilope cervicapra	Artiodactyla	Bovidae	3	2	1	0	1	0	0	0	1	0	0
Beatragus hunteri	Beatragus hunteri	Artiodactyla	Bovidae	3	2	1	0	1	0	1	0	0	0	0
Bison bison	Bison bison	Artiodactyla	Bovidae	3	2	1	0	1	1	0	0	0	0	0
Bison bonasus	Bison bonasus	Artiodactyla	Bovidae	3	2	1	0	1	1	0	0	0	0	0
Bos frontalis	Bos frontalis	Artiodactyla	Bovidae	3	2	1	0	1	1	0	1	0	0	0
Bos grunniens	Bos grunniens	Artiodactyla	Bovidae	3	2	1	0	1	1	0	1	0	0	0
Bos javanicus	Bos javanicus	Artiodactyla	Bovidae	3	2	1	0	1	1	0	1	0	0	0
Bos sauveli	Bos sauveli	Artiodactyla	Bovidae	3	2	1	0	1	1	0	1	0	0	0
Bos taurus	Bos taurus	Artiodactyla	Bovidae	3	2	1	0	1	1	0	1	0	0	0
Boselaphus tragocamelus	Boselaphus tragocamelus	Artiodactyla	Bovidae	3	2	1	0	1	1	0	0	0	0	0
Bubalus bubalis	Bubalus bubalis	Artiodactyla	Bovidae	3	2	1	0	1	1	0	1	0	0	0
Bubalus depressicornis	Bubalus depressicornis	Artiodactyla	Bovidae	3	2	1	0	1	1	0	1	0	0	0
Bubalus mindorensis	Bubalus mindorensis	Artiodactyla	Bovidae	3	2	1	0	1	1	0	1	0	0	0
