ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,14.29,15.10,27.78,1346.68,46.78,-7.59,54.38,27.20,1.32,32.36,-0.84,157,18,6,28.48,49,21,48,25.00,12.00,296.99,1785.60,296.99,1488.61,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,28.56,20.82,60.93,484.07,45.66,11.49,34.17,32.82,30.36,34,22.55,929,326,6,146.40,776,25,347,34.00,320.00,1381.08,2667.91,1381.08,1286.82,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,14.21,17.77,34.21,1282.01,42.42,-9.52,51.94,30.26,-0.55,30.26,-0.55,205,64,1,112.08,137,5,137,5.00,63.00,381.79,1778.72,381.79,1396.93,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,11.86,22.64,44.71,1086.73,42.25,-8.40,50.64,26.67,3.57,26.67,1.04,84,25,1,99.29,57,3,57,5.00,24.00,162.75,1572.20,162.75,1409.45,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,27.21,23.95,56.29,724.29,46.71,4.16,42.55,34.83,28.92,34.95,17.63,131,49,0,145.46,108,2,59,6.00,49.00,249.92,2617.41,249.92,2367.49,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,27.21,23.95,56.29,724.29,46.71,4.16,42.55,34.83,28.92,34.95,17.63,131,49,0,145.46,108,2,59,6.00,49.00,249.92,2617.41,249.92,2367.49,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,27.21,23.95,56.29,724.29,46.71,4.16,42.55,34.83,28.92,34.95,17.63,131,49,0,145.46,108,2,59,6.00,49.00,249.92,2617.41,249.92,2367.49,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,27.21,23.95,56.29,724.29,46.71,4.16,42.55,34.83,28.92,34.95,17.63,131,49,0,145.46,108,2,59,6.00,49.00,249.92,2617.41,249.92,2367.49,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,18.75,19.89,46.52,931.84,41.98,-0.79,42.77,29.08,8.90,29.69,7.69,157,34,1,79.90,83,6,71,6.00,33.00,296.99,2142.83,296.99,1845.84,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
