ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,6.32,12.67,23.93,1492.33,30.03,-22.91,52.94,-9.96,15.72,23.29,-13.31,271,45,5,40.61,104,39,49,98.00,40.00,494.05,1088.62,494.05,594.57,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,20.96,10.66,39.96,544.90,33.49,6.82,26.67,24.87,18.53,26.97,13.58,1469,475,5,129.79,1111,60,567,140.00,470.00,1868.89,2294.43,1868.89,425.54,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,6.41,13.39,27.22,1299.98,29.23,-19.97,49.20,21.54,-7.26,21.54,-10.45,531,117,3,81.23,294,53,294,80.00,114.00,891.39,1096.06,891.39,204.66,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,0.48,13.67,34.66,957.21,20.04,-19.41,39.45,10.38,-9.33,12.30,-11.29,78,26,0,117.83,56,0,55,0.00,26.00,151.42,664.02,151.42,512.60,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,25.64,14.66,41.06,797.56,42.14,6.44,35.70,32.54,16.70,34.16,14.80,406,139,0,125.32,301,18,121,25.00,139.00,708.91,2550.60,708.91,1841.69,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,25.64,14.66,41.06,797.56,42.14,6.44,35.70,32.54,16.70,34.16,14.80,406,139,0,125.32,301,18,121,25.00,139.00,708.91,2550.60,708.91,1841.69,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,25.64,14.66,41.06,797.56,42.14,6.44,35.70,32.54,16.70,34.16,14.80,406,139,0,125.32,301,18,121,25.00,139.00,708.91,2550.60,708.91,1841.69,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,25.64,14.66,41.06,797.56,42.14,6.44,35.70,32.54,16.70,34.16,14.80,406,139,0,125.32,301,18,121,25.00,139.00,708.91,2550.60,708.91,1841.69,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,7.56,11.80,33.11,870.28,24.61,-11.02,35.63,16.72,-3.76,17.75,-3.76,199,47,0,87.55,104,2,100,2.00,47.00,371.33,1192.88,371.33,821.55,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
