ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,9.73,19.17,27.43,1730.58,48.53,-21.34,69.88,7.49,-7.31,32.31,-10.84,143,16,6,27.71,47,21,35,25.00,10.00,271.75,1382.39,271.75,1110.64,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,20.08,14.59,45.37,507.26,36.88,4.71,32.17,22.26,16.19,25.90,13.30,1401,431,13,113.23,943,84,198,98.00,418.00,1816.65,2236.37,1816.65,419.72,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,6.55,17.21,31.53,1429.63,32.79,-21.78,54.58,23.59,-10.79,23.59,-10.79,207,64,1,112.71,139,5,139,5.00,63.00,385.26,1107.67,385.26,722.41,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,5.54,22.74,41.23,1217.68,35.97,-19.17,55.14,22.04,-3.94,22.04,-7.91,75,23,0,105.39,54,2,54,5.00,23.00,145.74,1025.09,145.74,879.35,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,19.05,18.87,46.07,768.33,39.14,-1.82,40.96,25.73,13.82,26.94,8.62,189,49,3,90.30,108,13,70,30.00,46.00,353.82,2164.52,353.82,1810.70,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,19.05,18.87,46.07,768.33,39.14,-1.82,40.96,25.73,13.82,26.94,8.62,189,49,3,90.30,108,13,70,30.00,46.00,353.82,2164.52,353.82,1810.70,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,19.05,18.87,46.07,768.33,39.14,-1.82,40.96,25.73,13.82,26.94,8.62,189,49,3,90.30,108,13,70,30.00,46.00,353.82,2164.52,353.82,1810.70,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,19.05,18.87,46.07,768.33,39.14,-1.82,40.96,25.73,13.82,26.94,8.62,189,49,3,90.30,108,13,70,30.00,46.00,353.82,2164.52,353.82,1810.70,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,11.30,16,36.01,1056.09,33.58,-10.84,44.42,22.02,-2.31,22.93,-2.31,296,49,1,76.06,143,7,138,7.00,48.00,535.30,1522.27,535.30,986.97,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
