ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,8.70,12.34,23.71,1483.81,32.52,-19.53,52.05,23.51,-6.82,25.56,-10.95,166,27,7,43.39,58,24,56,26.00,20.00,313.10,1291.58,313.10,978.48,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,19.51,12.10,34.57,669.78,38.07,3.06,35.01,25.57,13.22,27.35,11.01,602,259,1,140.68,437,42,343,43.00,258.00,988.49,2197.12,988.49,1208.62,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,9.13,12.34,26.03,1295.42,32.03,-15.37,47.40,25.03,-4.01,25.03,-7.50,261,62,4,79.79,145,29,145,42.00,58.00,477.35,1329.34,477.35,851.99,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,12.05,15.08,32.82,1169.62,33.06,-12.88,45.94,26.01,1.94,26.01,-2.64,32,17,0,137.27,28,0,28,0.00,17.00,63.07,1589.11,63.07,1526.04,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,24.96,15.93,37.60,917.63,46.84,4.47,42.37,13.94,34.25,35.63,12.87,57,16,0,86.20,25,0,7,20.00,16.00,111.42,2518.79,111.42,2407.37,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,24.96,15.93,37.60,917.63,46.84,4.47,42.37,13.94,34.25,35.63,12.87,57,16,0,86.20,25,0,7,20.00,16.00,111.42,2518.79,111.42,2407.37,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,24.96,15.93,37.60,917.63,46.84,4.47,42.37,13.94,34.25,35.63,12.87,57,16,0,86.20,25,0,7,20.00,16.00,111.42,2518.79,111.42,2407.37,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,24.96,15.93,37.60,917.63,46.84,4.47,42.37,13.94,34.25,35.63,12.87,57,16,0,86.20,25,0,7,20.00,16.00,111.42,2518.79,111.42,2407.37,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,19.40,15.58,33.72,1085.86,41.43,-4.78,46.21,32.15,5.16,32.15,5.16,169,46,0,103.35,103,1,103,1.00,46.00,318.45,2189.40,318.45,1870.95,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
26499,103.50,35.52,19.37,15.59,33.47,1116.61,41.29,-5.28,46.57,32.55,4.85,32.55,4.85,157,43,0,103.23,96,1,96,1.00,43.00,296.99,2187.28,296.99,1890.29,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24048,104.37,20.94,24.56,8.62,40.24,447.26,35.02,13.59,21.43,28.26,18.18,28.33,18.18,1017,247,4,109.73,620,25,607,25.00,243.00,1472.97,2499.25,1472.97,1026.28,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24505,104,36,19.78,15.66,31.67,1230.08,42.88,-6.57,49.45,34.34,10.15,34.34,3.96,129,36,0,105.87,85,1,85,1.00,36.00,246.27,2215.87,246.27,1969.60,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24054,98.91,17.71,27.09,9.58,52.49,302.91,35.76,17.51,18.25,28.17,24.20,30.16,22.60,878,236,0,97.08,463,11,236,16.00,236.00,1325.32,2612.62,1325.32,1287.30,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
23194,97.83,19.33,27.48,9.95,46.02,426.81,37.92,16.30,21.61,30.26,22.82,31.59,21.22,863,221,0,108.81,575,12,188,27.00,221.00,1308.56,2628.01,1308.56,1319.45,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
26453,118.67,32.17,16.98,9.74,28.16,954.73,33.89,-0.71,34.60,27.12,6.98,28.48,4.75,903,234,13,81.72,467,51,460,67.00,221.00,1352.89,2008.30,1352.89,655.40,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
20623,116.49,32.02,17.47,10.69,29.58,960.53,34.87,-1.27,36.14,27.20,8.12,28.98,5.10,854,166,11,71.97,422,37,401,44.00,155.00,1298.42,2046.62,1298.42,748.20,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24524,118.20,33.25,16.46,10.14,28.16,976.03,34.31,-1.69,36.01,26.60,6.57,28.36,3.96,752,222,9,101.36,471,31,435,51.00,213.00,1179.18,1966.80,1179.18,787.61,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24525,118.25,33.30,16.46,10.14,28.16,976.03,34.31,-1.69,36.01,26.60,6.57,28.36,3.96,752,222,9,101.36,471,31,435,51.00,213.00,1179.18,1966.80,1179.18,787.61,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
