ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,7.48,11.58,22.33,1474.73,31.11,-20.74,51.85,17.38,-11.91,24.42,-11.91,277,44,11,40.93,105,40,73,40.00,33.00,504.01,1186.05,504.01,682.04,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,24.16,11.78,29.92,851.17,44.40,5.01,39.38,32.27,14.19,34.12,13.08,661,183,5,115.67,479,42,301,59.00,178.00,1065.77,2479.08,1065.77,1413.31,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,8.80,12.14,24.68,1323.30,32.79,-16.39,49.18,24.94,9.95,24.94,-8.18,253,63,8,75.32,121,27,121,42.00,55.00,463.92,1300.34,463.92,836.42,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,11.50,14.71,30.71,1230.70,34.03,-13.86,47.89,26.39,0.06,26.39,-4.10,38,13,0,107.25,29,0,29,0.00,13.00,74.75,1540.12,74.75,1465.37,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,24.64,14.76,33.70,969.26,47.32,3.51,43.81,34.04,31.12,36,11.97,177,64,0,129.59,115,12,112,20.00,64.00,332.65,2503.21,332.65,2170.56,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,24.64,14.76,33.70,969.26,47.32,3.51,43.81,34.04,31.12,36,11.97,177,64,0,129.59,115,12,112,20.00,64.00,332.65,2503.21,332.65,2170.56,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,24.64,14.76,33.70,969.26,47.32,3.51,43.81,34.04,31.12,36,11.97,177,64,0,129.59,115,12,112,20.00,64.00,332.65,2503.21,332.65,2170.56,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,24.64,14.76,33.70,969.26,47.32,3.51,43.81,34.04,31.12,36,11.97,177,64,0,129.59,115,12,112,20.00,64.00,332.65,2503.21,332.65,2170.56,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,19.65,17.23,33.38,1225.81,45.20,-6.43,51.63,34.42,11.05,34.42,3.77,34,11,0,96.87,19,0,19,0.00,11.00,66.97,2206.87,66.97,2139.90,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
