ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,7.30,11.83,23.85,1416.13,29.95,-19.66,49.61,-8.97,21.82,23.59,-11.02,403,54,12,36.94,137,55,64,124.00,42.00,704.34,1170.72,704.34,466.38,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,20.30,10.55,33.65,543.80,36.43,5.07,31.36,23.41,15.43,26.79,13.27,1321,455,9,135.10,1017,71,549,102.00,446.00,1752.09,2251.17,1752.09,499.08,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,11.11,13.75,27.35,1342.54,34.42,-15.88,50.29,26.80,-2.16,26.80,-6.64,194,55,1,107.92,131,3,131,4.00,54.00,362.59,1505.32,362.59,1142.72,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,1.85,13.98,36.56,897.37,19.55,-18.70,38.25,12.08,-7,12.08,-10.05,132,34,0,97.38,85,5,85,9.00,34.00,251.75,752.12,251.75,500.37,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,24.73,14.25,36.65,786.50,44.02,5.15,38.88,33.21,16.84,33.21,14.13,189,69,0,146.09,137,10,137,19.00,69.00,353.82,2507.63,353.82,2153.81,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,24.73,14.25,36.65,786.50,44.02,5.15,38.88,33.21,16.84,33.21,14.13,189,69,0,146.09,137,10,137,19.00,69.00,353.82,2507.63,353.82,2153.81,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,24.73,14.25,36.65,786.50,44.02,5.15,38.88,33.21,16.84,33.21,14.13,189,69,0,146.09,137,10,137,19.00,69.00,353.82,2507.63,353.82,2153.81,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,24.73,14.25,36.65,786.50,44.02,5.15,38.88,33.21,16.84,33.21,14.13,189,69,0,146.09,137,10,137,19.00,69.00,353.82,2507.63,353.82,2153.81,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,10.82,13.60,39.17,720.02,26.03,-8.68,34.71,17.80,1.22,18.89,1.12,454,93,0,94.61,259,3,248,5.00,93.00,780.78,1479.44,780.78,698.66,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
26499,103.50,35.52,11.61,13.49,38.33,762.84,26.76,-8.45,35.20,18.65,1.62,20.26,1.26,416,91,0,96.02,241,1,231,4.00,91.00,724.07,1549.92,724.07,825.85,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24048,104.37,20.94,22.46,9.59,41.59,425.88,33.62,10.56,23.06,26.55,16.54,26.55,16.54,1010,230,3,97.40,599,18,599,18.00,227.00,1465.86,2386.18,1465.86,920.32,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24505,104,36,14.66,13.75,34.61,924.05,32.17,-7.55,39.72,23.31,2.69,25.21,2.24,293,81,0,108.55,188,1,186,2.00,81.00,530.39,1817.29,530.39,1286.90,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24054,98.91,17.71,26.63,10.25,56.77,250.19,34.99,16.94,18.05,28.11,24.86,29.26,23.21,854,164,0,85.99,382,4,223,6.00,164.00,1298.42,2593.78,1298.42,1295.36,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
23194,97.83,19.33,26.21,9.91,53.83,280.19,34.59,16.18,18.41,27.42,23.73,29.06,22.19,1120,216,1,92.02,587,9,382,12.00,215.00,1573.92,2575.90,1573.92,1001.99,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
