ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,9.62,12.86,24.27,1521.38,33.75,-19.24,52.98,26.76,-6.17,26.76,-10.60,104,18,4,47.58,42,14,42,16.00,14.00,200.18,1372.64,200.18,1172.47,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,20.43,11.57,34.78,581.07,38.04,4.78,33.26,24.87,14.99,27.23,12.99,998,339,12,130.43,725,81,328,117.00,327.00,1453.58,2259.83,1453.58,806.25,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,10.36,12.54,27.13,1246.91,33.31,-12.89,46.20,25.77,-1.56,25.77,-5.50,236,52,3,71.33,118,24,118,34.00,49.00,435.13,1438.41,435.13,1003.29,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,1.26,13.42,35.38,890.72,19.22,-18.70,37.93,11.59,1.18,11.59,-10.49,187,28,4,43.44,70,25,70,43.00,24.00,350.31,713.25,350.31,362.94,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,25.53,15.44,37.12,865.19,47,5.41,41.59,33.65,17.02,35.43,14.16,112,39,0,101.94,53,12,51,26.00,39.00,215.01,2545.57,215.01,2330.56,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,25.53,15.44,37.12,865.19,47,5.41,41.59,33.65,17.02,35.43,14.16,112,39,0,101.94,53,12,51,26.00,39.00,215.01,2545.57,215.01,2330.56,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,25.53,15.44,37.12,865.19,47,5.41,41.59,33.65,17.02,35.43,14.16,112,39,0,101.94,53,12,51,26.00,39.00,215.01,2545.57,215.01,2330.56,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,25.53,15.44,37.12,865.19,47,5.41,41.59,33.65,17.02,35.43,14.16,112,39,0,101.94,53,12,51,26.00,39.00,215.01,2545.57,215.01,2330.56,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,9.29,11.74,35.11,720.77,23.70,-9.74,33.44,17.36,-0.40,17.36,-0.40,659,137,3,90.10,351,9,351,9.00,134.00,1063.20,1343.45,1063.20,280.25,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
