ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,4.37,12.24,24.20,1401.98,27.40,-23.17,50.56,-4.02,-11.03,20.72,-13.86,234,30,11,27.40,75,40,55,46.00,19.00,431.72,933.31,431.72,501.59,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,20.13,12.03,43.18,490.48,33.19,5.33,27.86,23.28,17.64,25.18,13.24,1785,516,26,106.03,1144,128,797,186.00,490.00,2082.98,2239.75,2082.98,156.77,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,5.83,14.11,28.77,1214.81,28.57,-20.46,49.03,18.83,-9.95,20.02,-9.95,310,77,0,98.38,186,2,174,2.00,77.00,558.11,1048.51,558.11,490.40,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,1.67,13.63,33.64,991.21,21.42,-19.11,40.52,13.67,-9.42,13.67,-10.81,141,33,2,83.21,83,8,83,9.00,31.00,268.12,740.11,268.12,471.99,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,25.31,13.90,40.68,771.96,40.33,6.16,34.17,31.29,16.21,33.49,14.61,331,82,2,94.68,202,20,130,29.00,80.00,591.92,2535.38,591.92,1943.46,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,25.31,13.90,40.68,771.96,40.33,6.16,34.17,31.29,16.21,33.49,14.61,331,82,2,94.68,202,20,130,29.00,80.00,591.92,2535.38,591.92,1943.46,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,25.31,13.90,40.68,771.96,40.33,6.16,34.17,31.29,16.21,33.49,14.61,331,82,2,94.68,202,20,130,29.00,80.00,591.92,2535.38,591.92,1943.46,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,25.31,13.90,40.68,771.96,40.33,6.16,34.17,31.29,16.21,33.49,14.61,331,82,2,94.68,202,20,130,29.00,80.00,591.92,2535.38,591.92,1943.46,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,9.33,11.92,31.16,934.53,27.46,-10.81,38.27,19.24,-3.08,20.12,-3.08,594,105,6,69.79,260,28,243,28.00,99.00,977.78,1346.99,977.78,369.21,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
26499,103.50,35.52,9.98,12.14,30.83,969.65,28.39,-10.98,39.37,19.95,-2.88,21.19,-2.88,545,96,6,70.17,240,24,225,24.00,90.00,910.90,1404.59,910.90,493.69,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24048,104.37,20.94,22.30,8.15,47.34,374.73,30.31,13.08,17.22,25.49,18.21,25.77,17.03,1455,319,9,92.58,818,47,808,52.00,310.00,1858.33,2376.83,1858.33,518.50,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24505,104,36,12.23,13.25,30.47,1079.91,32.07,-11.41,43.47,24.54,-2.04,24.54,-2.04,388,67,5,71.31,173,19,173,19.00,62.00,681.36,1605.10,681.36,923.74,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24054,98.91,17.71,25.97,9.21,53.58,255.80,33.98,16.79,17.20,26.67,22.42,28.62,22.42,1018,207,5,83.80,540,26,306,26.00,202.00,1473.98,2565.39,1473.98,1091.41,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
23194,97.83,19.33,26.21,8.76,52.60,280.88,34.20,17.53,16.66,27.25,23.75,29.22,22.20,1261,274,6,88.47,669,27,363,28.00,268.00,1701.37,2575.90,1701.37,874.53,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
26453,118.67,32.17,17.49,9.67,27.91,901.45,34.49,-0.15,34.63,28.12,13.25,28.12,6.09,1222,211,44,50.66,501,143,501,161.00,167.00,1667.30,2048.17,1667.30,380.86,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
20623,116.49,32.02,17.50,10.23,29.36,893.02,34.47,-0.36,34.83,27.86,7.96,27.86,6,1249,191,40,45.07,476,144,476,158.00,151.00,1690.98,2048.94,1690.98,357.96,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24524,118.20,33.25,17,10.34,28.69,928.59,34.48,-1.54,36.02,27.97,12.31,27.97,5.14,1058,223,35,61.36,482,114,482,140.00,188.00,1513.98,2009.88,1513.98,495.90,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24525,118.25,33.30,17,10.34,28.69,928.59,34.48,-1.54,36.02,27.97,12.31,27.97,5.14,1058,223,35,61.36,482,114,482,140.00,188.00,1513.98,2009.88,1513.98,495.90,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
28899,118.10,31.09,17.59,8.72,26.95,862.09,33.57,1.21,32.36,21.53,8.68,27.80,6.73,1446,226,46,46.15,544,166,529,187.00,180.00,1851.49,2055.88,1851.49,204.40,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
29079,118.42,32.85,17.06,10.56,29.39,916.21,34.61,-1.32,35.93,27.83,12.60,27.83,5.38,1107,232,37,59.67,488,124,488,145.00,195.00,1561.55,2014.61,1561.55,453.06,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
26586,70.10,30.10,20.52,11.64,39.39,705.12,33.37,3.81,29.56,27.38,12.49,27.82,10.81,496,129,5,95.53,301,34,212,46.00,124.00,841.81,2265.79,841.81,1423.97,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26583,94.08,22.92,25.16,9.06,50.27,353.29,33.06,15.04,18.02,27.63,19.95,28.40,19.95,1710,358,7,93.05,920,32,554,32.00,351.00,2036.16,2528.33,2036.16,492.17,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
23192,100.23,18.93,26.25,9.39,51.98,302.39,34.41,16.35,18.06,27.87,21.93,29.29,21.93,1187,234,10,83.47,626,34,347,34.00,224.00,1635.97,2577.63,1635.97,941.66,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
28737,88.50,46.62,4.37,12.24,24.20,1401.98,27.40,-23.17,50.56,-4.02,-11.03,20.72,-13.86,234,30,11,27.40,75,40,55,46.00,19.00,431.72,933.31,431.72,501.59,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
28110,111.58,42.01,5.83,14.11,28.77,1214.81,28.57,-20.46,49.03,18.83,-9.95,20.02,-9.95,310,77,0,98.38,186,2,174,2.00,77.00,558.11,1048.51,558.11,490.40,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26568,82.33,28,21.57,13.14,49.35,487.32,32.95,6.33,26.62,25.53,20.34,25.89,14.45,1977,557,9,119.89,1372,32,1019,79.00,548.00,2192.75,2332.85,2192.75,140.10,0.00,C:EU,In,In,In,Out,In,Out,Out,Out,Out,Out,Out
26596,69,29,25.31,13.90,40.68,771.96,40.33,6.16,34.17,31.29,16.21,33.49,14.61,331,82,2,94.68,202,20,130,29.00,80.00,591.92,2535.38,591.92,1943.46,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
24470,110.70,32.10,15.31,10.18,30.43,841.18,31.43,-2.02,33.44,23.45,6.37,25.10,4.49,1449,205,38,47.62,544,140,537,147.00,167.00,1853.77,1872.23,1853.77,18.46,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
26500,103.42,36.47,11.94,13.23,30.91,1066.61,31.70,-11.12,42.81,22.93,-2.13,24.15,-2.13,380,70,3,76.32,182,16,176,16.00,67.00,669.01,1579.32,669.01,910.31,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
20625,114,37,12.39,13.54,32.84,1010.22,31.56,-9.67,41.23,22.90,-0.85,24.27,-0.85,924,202,14,75.19,464,46,457,46.00,188.00,1375.70,1619.30,1375.70,243.60,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
20968,89,46,4.94,13.35,24.38,1489.08,29.31,-25.45,54.76,19.51,-11.13,21.93,-14.96,181,22,7,30.51,57,25,50,31.00,15.00,339.73,977.47,339.73,637.74,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26478,88,47,4.81,10.96,22.91,1365.68,26.63,-21.20,47.84,-3.16,-10.34,20.80,-12.88,284,38,13,27.62,94,55,58,63.00,25.00,515.59,967.30,515.59,451.71,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26477,87.48,46.42,7.35,11.57,21.93,1486.04,30.81,-21.97,52.78,-1.55,-8.86,24.70,-12.13,216,25,10,25.78,66,36,53,44.00,15.00,400.84,1174.97,400.84,774.13,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
20973,89,46,4.94,13.35,24.38,1489.08,29.31,-25.45,54.76,19.51,-11.13,21.93,-14.96,181,22,7,30.51,57,25,50,31.00,15.00,339.73,977.47,339.73,637.74,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
20975,88.51,46.67,3.85,12.32,23.66,1445.09,27.45,-24.60,52.05,-4.74,-12,20.66,-15.05,240,32,11,29.28,80,41,53,47.00,21.00,441.93,893.99,441.93,452.06,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
23193,103.25,23.58,21.08,8.37,43.94,402.15,29.76,10.72,19.04,24.85,15.39,24.88,15.39,1232,219,18,77.91,628,70,604,70.00,201.00,1676.12,2302.11,1676.12,625.99,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24499,109,34,13,12.26,31.23,980.74,30.97,-8.29,39.26,22.57,0.44,24.49,0.44,952,125,21,47.53,355,83,310,83.00,104.00,1405.62,1673.22,1405.62,267.60,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
20927,109.30,34.10,13.05,12.02,30.99,970.92,30.69,-8.10,38.78,22.47,0.51,24.32,0.51,973,129,21,47.27,363,85,321,85.00,108.00,1427.70,1677.63,1427.70,249.93,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24596,103.67,36.12,12.61,12.86,30.03,1067.89,32.27,-10.57,42.84,23.56,-1.47,24.86,-1.47,411,72,5,70.95,185,21,181,21.00,67.00,716.50,1638.79,716.50,922.29,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
20925,109.30,34.10,13.05,12.02,30.99,970.92,30.69,-8.10,38.78,22.47,0.51,24.32,0.51,973,129,21,47.27,363,85,321,85.00,108.00,1427.70,1677.63,1427.70,249.93,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24511,121,32,17.10,8.25,26.12,845.23,33.03,1.43,31.60,27.16,13.82,27.16,6.60,1198,173,43,45.81,469,151,469,159.00,130.00,1645.90,2017.75,1645.90,371.86,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24059,99.70,18.26,26.52,9.42,52.72,283.53,34.62,16.74,17.87,27.41,22.53,29.35,22.53,1190,237,9,84.30,610,31,352,31.00,228.00,1638.68,2589.16,1638.68,950.47,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
20978,102.80,36.60,8.03,12.09,31.98,918.81,26.08,-11.72,37.80,17.90,-4,18.85,-4,472,86,5,79.50,237,19,229,19.00,81.00,807.15,1233.29,807.15,426.15,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
