ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,5.99,11.26,21.64,1498.35,29.27,-22.77,52.04,21.28,-13.57,23.19,-13.57,228,33,7,41.12,92,29,73,29.00,26.00,421.47,1061.53,421.47,640.06,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,17.63,11.17,34.44,714.59,33.82,1.40,32.42,24.51,13.59,25.75,8.47,880,194,13,72.77,442,73,433,151.00,181.00,1327.55,2058.96,1327.55,731.41,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,8.24,12.23,25.04,1307,30.90,-17.94,48.84,23.84,-6.89,23.84,-8.45,273,88,2,111.24,184,19,184,30.00,86.00,497.37,1251.48,497.37,754.11,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,10.68,15.06,31.11,1244.33,33.51,-14.90,48.42,23.82,-1.59,25.67,-5.07,20,9,0,114.56,18,0,17,0.00,9.00,39.58,1466.95,39.58,1427.37,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,24.56,15.28,37.43,928.31,45.46,4.63,40.82,35.27,18.91,35.27,12.44,131,51,0,120.09,67,4,67,37.00,51.00,249.92,2499.25,249.92,2249.33,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,24.56,15.28,37.43,928.31,45.46,4.63,40.82,35.27,18.91,35.27,12.44,131,51,0,120.09,67,4,67,37.00,51.00,249.92,2499.25,249.92,2249.33,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,24.56,15.28,37.43,928.31,45.46,4.63,40.82,35.27,18.91,35.27,12.44,131,51,0,120.09,67,4,67,37.00,51.00,249.92,2499.25,249.92,2249.33,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,24.56,15.28,37.43,928.31,45.46,4.63,40.82,35.27,18.91,35.27,12.44,131,51,0,120.09,67,4,67,37.00,51.00,249.92,2499.25,249.92,2249.33,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,18.54,15.86,32.04,1225.29,42.80,-6.70,49.51,31.73,3.98,33.41,2.82,104,23,0,87.70,60,0,52,1.00,23.00,200.18,2127.45,200.18,1927.27,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
26499,103.50,35.52,18.45,15.80,31.59,1251.11,42.75,-7.26,50.01,31.62,3.41,33.70,2.48,98,22,0,91.01,59,0,51,0.00,22.00,189.00,2120.81,189.00,1931.81,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24048,104.37,20.94,22.83,8.63,40.75,470.92,33.13,11.96,21.17,26.83,17.52,26.98,16.40,1033,238,2,91.67,564,16,496,22.00,236.00,1489.11,2407.39,1489.11,918.29,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24505,104,36,18.80,15.83,29.82,1359.76,44.46,-8.64,53.10,33.21,2.36,35.35,1.54,79,18,0,95,51,0,47,0.00,18.00,153.31,2146.47,153.31,1993.16,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24054,98.91,17.71,25.28,9.37,48.65,315.18,34.38,15.11,19.27,26.65,22.59,28.53,20.78,854,209,2,86.38,436,17,267,23.00,207.00,1298.42,2533.98,1298.42,1235.56,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
23194,97.83,19.33,25.80,10.03,43.86,455.41,37.70,14.83,22.86,29.02,21.14,30.12,19.38,844,170,5,81.96,435,19,203,29.00,165.00,1287.09,2557.82,1287.09,1270.74,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
26453,118.67,32.17,15.81,9.90,26.93,1011.97,33.79,-2.96,36.75,28.19,3.06,28.19,3.06,741,182,9,86.46,410,50,410,50.00,173.00,1165.84,1913.79,1165.84,747.95,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
20623,116.49,32.02,16.49,10.94,28.48,1046.55,35.24,-3.17,38.41,29.23,3.27,29.23,3.27,655,138,6,86.84,365,34,365,34.00,132.00,1058.05,1969.21,1058.05,911.16,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24524,118.20,33.25,15.44,10.39,27.36,1048.19,33.98,-4,37.98,26.22,4.57,28.33,2.23,597,186,8,107.28,385,36,361,40.00,178.00,981.80,1883.10,981.80,901.29,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24525,118.25,33.30,15.44,10.39,27.36,1048.19,33.98,-4,37.98,26.22,4.57,28.33,2.23,597,186,8,107.28,385,36,361,40.00,178.00,981.80,1883.10,981.80,901.29,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
28899,118.10,31.09,16.31,9.65,27.07,986.74,33.68,-1.98,35.66,28.40,3.83,28.40,3.83,883,166,6,74.27,452,53,452,53.00,160.00,1330.87,1954.67,1330.87,623.80,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
29079,118.42,32.85,15.42,10.62,28.10,1031.58,33.90,-3.89,37.78,26.13,4.60,28.07,2.41,639,187,8,100.60,394,40,373,41.00,179.00,1037.31,1881.43,1037.31,844.12,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
26586,70.10,30.10,20.78,13.60,36.57,854,40.31,3.11,37.20,29.58,15.92,30.76,9.78,208,90,0,136.56,104,2,101,49.00,90.00,387.00,2282.81,387.00,1895.81,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26583,94.08,22.92,24.82,11.53,36.30,815.56,41.04,9.28,31.76,32.63,14.27,32.97,14.27,737,168,2,87.98,377,12,270,12.00,166.00,1160.96,2512.02,1160.96,1351.07,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
23192,100.23,18.93,25.55,9.40,45.98,368.46,35.12,14.67,20.45,27.97,22.25,29.11,20.36,1121,206,4,85.44,590,19,374,27.00,202.00,1574.86,2546.49,1574.86,971.63,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
28737,88.50,46.62,5.99,11.26,21.64,1498.35,29.27,-22.77,52.04,21.28,-13.57,23.19,-13.57,228,33,7,41.12,92,29,73,29.00,26.00,421.47,1061.53,421.47,640.06,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
28110,111.58,42.01,8.24,12.23,25.04,1307,30.90,-17.94,48.84,23.84,-6.89,23.84,-8.45,273,88,2,111.24,184,19,184,30.00,86.00,497.37,1251.48,497.37,754.11,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26568,82.33,28,21.31,12.95,37.51,788.20,38.37,3.83,34.54,28.77,18.19,29.63,10.80,980,321,0,134.29,735,16,711,30.00,321.00,1434.99,2316.66,1434.99,881.67,0.00,C:EU,In,In,In,Out,In,Out,Out,Out,Out,Out,Out
26596,69,29,24.56,15.28,37.43,928.31,45.46,4.63,40.82,35.27,18.91,35.27,12.44,131,51,0,120.09,67,4,67,37.00,51.00,249.92,2499.25,249.92,2249.33,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
24470,110.70,32.10,19.97,14.30,32.79,1111.61,40.82,-2.79,43.61,31.36,10.25,33.42,6.08,337,84,1,80.48,169,14,166,14.00,83.00,601.50,2228.89,601.50,1627.39,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
26500,103.42,36.47,18.54,16,30.80,1325.12,43.68,-8.25,51.93,32.56,2.55,34.70,1.77,82,20,0,97.50,53,0,51,0.00,20.00,158.98,2127.45,158.98,1968.47,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
20625,114,37,15.44,13.48,29.52,1220.86,37.60,-8.07,45.67,27.83,-0.16,30.41,-0.16,218,54,1,98.56,136,6,118,6.00,53.00,404.29,1883.10,404.29,1478.81,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
