ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,6.25,12.08,23.43,1476.35,29.38,-22.18,51.56,21.30,-10.25,23.07,-13.09,225,25,11,24.25,68,38,60,44.00,14.00,416.33,1082.85,416.33,666.52,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,18.77,10.83,40.56,547.31,31.03,4.33,26.70,22.73,15.61,24.84,11.35,1382,420,12,112.65,922,82,589,147.00,408.00,1801.63,2144.29,1801.63,342.66,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,9.40,13.05,26.27,1323.04,31.58,-18.12,49.69,24.79,-5.99,24.79,-7.96,270,91,0,132.35,206,3,206,6.00,91.00,492.38,1353.17,492.38,860.79,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,0.14,13.45,35.86,921.30,17.89,-19.63,37.52,10.93,-5.98,10.93,-11.59,122,42,0,123.55,93,1,93,2.00,42.00,233.44,643.33,233.44,409.89,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,23.87,14.73,41.03,797.60,40.61,4.72,35.89,32.32,19.10,32.41,13.10,181,53,0,104.06,113,7,79,23.00,53.00,339.73,2464.05,339.73,2124.33,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,23.87,14.73,41.03,797.60,40.61,4.72,35.89,32.32,19.10,32.41,13.10,181,53,0,104.06,113,7,79,23.00,53.00,339.73,2464.05,339.73,2124.33,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,23.87,14.73,41.03,797.60,40.61,4.72,35.89,32.32,19.10,32.41,13.10,181,53,0,104.06,113,7,79,23.00,53.00,339.73,2464.05,339.73,2124.33,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,23.87,14.73,41.03,797.60,40.61,4.72,35.89,32.32,19.10,32.41,13.10,181,53,0,104.06,113,7,79,23.00,53.00,339.73,2464.05,339.73,2124.33,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,7.43,11.08,33.57,764.29,22.09,-10.91,33,15.35,-2.66,16.29,-2.66,927,256,0,107.78,580,7,574,7.00,256.00,1181.78,1181.78,1378.93,0.00,197.15,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
26499,103.50,35.52,8.29,11.02,32.61,795,23.15,-10.66,33.80,16.18,-2.14,17.56,-2.14,899,254,0,110.35,572,5,566,5.00,254.00,1255.82,1255.82,1348.51,0.00,92.69,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24048,104.37,20.94,20.52,8.76,42.15,431.97,30.71,9.92,20.79,24.53,15.59,25.18,14.68,1128,252,3,91.93,624,35,618,35.00,249.00,1581.47,2265.79,1581.47,684.32,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24505,104,36,11.17,11.08,29.28,939.70,27.74,-10.09,37.84,22.02,-0.21,22.02,-1.13,728,215,0,120.45,501,4,501,8.00,215.00,1149.94,1510.67,1149.94,360.74,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24054,98.91,17.71,25.07,9.69,55.06,244.06,32.78,15.18,17.59,25.64,21.75,27.64,21.75,829,195,2,88.03,427,16,214,16.00,193.00,1269.94,2524.06,1269.94,1254.12,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
23194,97.83,19.33,24.65,9.35,53.53,288.84,32.69,15.22,17.47,25.81,20.55,27.73,20.55,1073,210,4,87.76,574,18,334,18.00,206.00,1528.71,2503.70,1528.71,974.99,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
26453,118.67,32.17,15.39,8.22,25.12,877.28,31.96,-0.78,32.74,26.19,10.85,26.19,4.56,1025,176,12,64.47,480,85,480,105.00,164.00,1481.06,1878.92,1481.06,397.86,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
20623,116.49,32.02,15.76,9.08,26.89,867.43,33.09,-0.67,33.76,26.44,10.63,26.44,4.95,1003,170,14,66.88,474,71,474,88.00,156.00,1458.71,1909.66,1458.71,450.95,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24524,118.20,33.25,14.93,8.82,26.02,902.49,31.84,-2.05,33.89,26.02,9.88,26.02,3.62,807,162,7,73.13,429,66,429,92.00,155.00,1244.48,1840.23,1244.48,595.75,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24525,118.25,33.30,14.93,8.82,26.02,902.49,31.84,-2.05,33.89,26.02,9.88,26.02,3.62,807,162,7,73.13,429,66,429,92.00,155.00,1244.48,1840.23,1244.48,595.75,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
28899,118.10,31.09,15.86,7.53,23.97,845.05,32.02,0.59,31.43,23.40,7.06,26.37,5.54,1324,263,27,62.89,588,98,571,126.00,236.00,1754.58,1917.91,1754.58,163.33,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
29079,118.42,32.85,14.91,9.04,26.77,888.89,31.87,-1.90,33.76,25.81,10.12,25.81,3.81,881,175,7,69.37,443,75,443,94.00,168.00,1328.66,1838.54,1328.66,509.88,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
