ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,7.86,12.91,22.88,1617.55,33.11,-23.31,56.43,23.53,-10.89,25.77,-13.57,84,15,3,56.66,39,9,36,11.00,12.00,162.75,1218.63,162.75,1055.88,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,18.38,10.56,40.78,528.31,29.98,4.09,25.89,22.12,15.39,24.25,11.19,1423,404,13,109.27,938,83,595,150.00,391.00,1833.81,2115.62,1833.81,281.81,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,9.64,12.85,25.98,1330.45,32.88,-16.60,49.48,25.47,1.24,25.47,-7.44,183,46,2,87.07,108,11,108,22.00,44.00,343.26,1374.41,343.26,1031.16,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,-0.57,12.92,34.90,904.33,17.09,-19.93,37.02,10.25,-0.74,10.25,-12.04,189,28,4,42.83,74,31,74,51.00,24.00,353.82,601.66,353.82,247.84,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,23.91,14.35,40.59,790.69,40.21,4.86,35.35,32.27,19.24,32.29,13.17,185,51,1,99.26,117,8,77,26.00,50.00,346.78,2466.15,346.78,2119.36,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,23.91,14.35,40.59,790.69,40.21,4.86,35.35,32.27,19.24,32.29,13.17,185,51,1,99.26,117,8,77,26.00,50.00,346.78,2466.15,346.78,2119.36,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,23.91,14.35,40.59,790.69,40.21,4.86,35.35,32.27,19.24,32.29,13.17,185,51,1,99.26,117,8,77,26.00,50.00,346.78,2466.15,346.78,2119.36,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,23.91,14.35,40.59,790.69,40.21,4.86,35.35,32.27,19.24,32.29,13.17,185,51,1,99.26,117,8,77,26.00,50.00,346.78,2466.15,346.78,2119.36,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,6.30,10.54,31.86,796.06,20.96,-12.10,33.06,15.40,-4.15,15.40,-4.15,925,193,5,85.79,479,16,479,16.00,188.00,1086.97,1086.97,1376.78,0.00,289.81,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
26499,103.50,35.52,7.12,10.44,30.90,828.69,21.90,-11.89,33.79,16.66,-3.71,16.66,-3.71,893,186,5,85.03,459,16,459,16.00,181.00,1155.47,1155.47,1341.92,0.00,186.45,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24048,104.37,20.94,19.82,8.20,39.07,411.02,30.94,9.96,20.98,24.32,15.14,24.32,14.40,1287,317,3,95.88,716,17,716,24.00,314.00,1723.60,2218.62,1723.60,495.02,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24505,104,36,10.12,10.41,27.84,965.27,26.57,-10.83,37.40,21.27,-2.46,21.27,-2.46,720,165,6,85.73,388,28,388,28.00,159.00,1140.08,1417.04,1140.08,276.96,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24054,98.91,17.71,24.91,9.62,54.21,252.33,32.74,15,17.74,25.44,23.35,27.67,21.52,778,160,2,87.68,410,14,241,14.00,158.00,1210.35,2516.39,1210.35,1306.04,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
23194,97.83,19.33,24.63,9.48,52.83,297,32.99,15.06,17.94,25.91,20.45,27.87,20.45,993,199,3,91.58,559,11,289,11.00,196.00,1448.44,2502.72,1448.44,1054.27,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
26453,118.67,32.17,15.03,8.15,24.44,885.55,32.40,-0.95,33.36,25.86,10.50,25.86,4.09,996,173,18,58.20,434,96,434,112.00,155.00,1451.53,1848.69,1451.53,397.16,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
20623,116.49,32.02,15.25,8.88,26.30,876.54,32.80,-0.98,33.78,26.02,10.19,26.02,4.35,970,142,15,60.83,402,59,402,95.00,127.00,1424.56,1867.20,1424.56,442.64,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24524,118.20,33.25,14.58,8.75,25.46,911.57,32.22,-2.15,34.37,25.76,9.54,25.76,3.21,817,184,5,74.01,419,58,419,98.00,179.00,1256.10,1810.46,1256.10,554.36,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24525,118.25,33.30,14.58,8.75,25.46,911.57,32.22,-2.15,34.37,25.76,9.54,25.76,3.21,817,184,5,74.01,419,58,419,98.00,179.00,1256.10,1810.46,1256.10,554.36,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
28899,118.10,31.09,15.55,7.51,23.31,858.85,32.56,0.33,32.23,22.96,6.64,26.14,5,1257,231,26,55.86,532,121,484,124.00,205.00,1697.92,1892.26,1697.92,194.34,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
29079,118.42,32.85,14.54,8.96,26.18,897.14,32.20,-2.02,34.22,25.50,9.78,25.50,3.37,883,187,7,67.93,423,72,423,102.00,180.00,1330.87,1807.05,1330.87,476.17,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
26586,70.10,30.10,19.91,12.29,39.30,715.81,34.53,3.26,31.27,27.50,15.98,27.50,10.27,323,93,3,105.98,206,14,206,40.00,90.00,579.10,2224.79,579.10,1645.70,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26583,94.08,22.92,25.36,9.62,49.56,387.04,33.78,14.38,19.40,27.86,19.79,29.11,19.79,1317,301,0,96.18,742,11,407,11.00,301.00,1748.77,2537.72,1748.77,788.94,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
23192,100.23,18.93,25.13,10.16,50.91,297.79,34.16,14.21,19.95,26.86,21.04,28.12,21.04,1028,190,3,89.55,557,17,326,17.00,187.00,1484.08,2526.91,1484.08,1042.83,0.00,C:EU,In,In,Out,In,Out,Out,Out,Out,Out,Out,Out
28737,88.50,46.62,7.86,12.91,22.88,1617.55,33.11,-23.31,56.43,23.53,-10.89,25.77,-13.57,84,15,3,56.66,39,9,36,11.00,12.00,162.75,1218.63,162.75,1055.88,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
28110,111.58,42.01,9.64,12.85,25.98,1330.45,32.88,-16.60,49.48,25.47,1.24,25.47,-7.44,183,46,2,87.07,108,11,108,22.00,44.00,343.26,1374.41,343.26,1031.16,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26568,82.33,28,21.82,11.99,44.68,527.28,33.97,7.14,26.83,25.84,15.13,26.64,14.35,1516,473,2,124.37,1042,28,821,36.00,471.00,1903.65,2348.16,1903.65,444.51,0.00,C:EU,In,In,In,Out,In,Out,Out,Out,Out,Out,Out
26596,69,29,23.91,14.35,40.59,790.69,40.21,4.86,35.35,32.27,19.24,32.29,13.17,185,51,1,99.26,117,8,77,26.00,50.00,346.78,2466.15,346.78,2119.36,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
24470,110.70,32.10,17.64,10.26,28.65,844.37,36.29,0.48,35.81,25.07,7.81,28.13,7.28,614,113,8,70.92,285,34,221,35.00,105.00,1004.46,2059.73,1004.46,1055.27,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
26500,103.42,36.47,7.80,11.10,30.19,936.60,23.94,-12.82,36.76,18.55,-4.34,18.55,-4.34,802,185,5,89.08,442,23,442,23.00,180.00,1213.46,1213.46,1238.64,0.00,25.18,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
20625,114,37,14.55,12.03,28.40,1121.36,35.03,-7.32,42.35,26.44,0.08,28.16,0.08,346,102,2,103.29,210,10,204,10.00,100.00,615.79,1807.90,615.79,1192.11,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
