ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,7.36,12.49,23.09,1572.47,31.54,-22.56,54.10,22.86,-10.90,24.93,-13.41,109,22,4,58.51,53,13,49,14.00,18.00,209.46,1175.82,209.46,966.37,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,18.70,13,39.69,639.16,35.62,2.86,32.76,21.87,23.46,26.33,10.53,508,151,5,90.55,244,50,110,146.00,146.00,858.94,2139.18,858.94,1280.24,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,8.22,11.75,25.53,1226.69,29.26,-16.78,46.04,22.61,0.38,22.61,-7.65,389,120,3,113.48,268,26,268,29.00,117.00,682.90,1249.75,682.90,566.85,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,-0.64,13.14,35.45,894.25,16.96,-20.11,37.07,10.11,-5.14,10.11,-11.98,164,35,0,84.73,93,11,93,14.00,35.00,309.53,597.67,309.53,288.14,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,23.98,16.33,39.88,904.97,45.22,4.27,40.95,12.32,33.59,34.59,12.32,39,11,0,90.37,26,0,0,26.00,11.00,76.69,2469.79,76.69,2393.10,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,23.98,16.33,39.88,904.97,45.22,4.27,40.95,12.32,33.59,34.59,12.32,39,11,0,90.37,26,0,0,26.00,11.00,76.69,2469.79,76.69,2393.10,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,23.98,16.33,39.88,904.97,45.22,4.27,40.95,12.32,33.59,34.59,12.32,39,11,0,90.37,26,0,0,26.00,11.00,76.69,2469.79,76.69,2393.10,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,23.98,16.33,39.88,904.97,45.22,4.27,40.95,12.32,33.59,34.59,12.32,39,11,0,90.37,26,0,0,26.00,11.00,76.69,2469.79,76.69,2393.10,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,6.12,9.80,30.61,769.82,20.39,-11.62,32.01,15.29,-3.85,15.29,-3.85,1063,228,3,92.84,604,18,604,18.00,225.00,1072.16,1072.16,1518.91,0.00,446.74,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
