ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,4.81,12.21,22.47,1534.60,29.20,-25.13,54.33,20.49,-12.92,22.39,-15.24,168,22,6,31.65,54,24,52,26.00,16.00,316.67,967.30,316.67,650.64,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,22.56,11.84,33.28,805.16,40.18,4.62,35.56,30.19,23.40,31.85,12.04,876,221,7,105.01,548,36,466,127.00,214.00,1323.10,2391.97,1323.10,1068.87,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,4.52,11.66,24.17,1281.80,27.35,-20.91,48.26,19.97,-9.79,19.97,-11.63,388,81,12,68.44,198,43,198,44.00,69.00,681.36,944.82,681.36,263.46,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,4.08,14.11,30.85,1169.83,26.03,-19.72,45.75,15.25,-8.60,18.02,-10.75,87,22,0,95.32,50,1,50,2.00,22.00,168.39,911.27,168.39,742.87,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,23.87,15.03,37.20,940.86,44,3.59,40.40,32.75,18.45,34.63,11.54,121,46,0,120.96,78,5,74,22.00,46.00,231.60,2464.05,231.60,2232.45,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,23.87,15.03,37.20,940.86,44,3.59,40.40,32.75,18.45,34.63,11.54,121,46,0,120.96,78,5,74,22.00,46.00,231.60,2464.05,231.60,2232.45,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,23.87,15.03,37.20,940.86,44,3.59,40.40,32.75,18.45,34.63,11.54,121,46,0,120.96,78,5,74,22.00,46.00,231.60,2464.05,231.60,2232.45,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,23.87,15.03,37.20,940.86,44,3.59,40.40,32.75,18.45,34.63,11.54,121,46,0,120.96,78,5,74,22.00,46.00,231.60,2464.05,231.60,2232.45,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,11.76,12.43,30.67,1022.80,32.94,-7.58,40.53,11.41,1.31,24.16,-1.27,415,51,4,44.18,144,40,132,62.00,47.00,722.56,1563.29,722.56,840.73,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
26499,103.50,35.52,11.94,12.45,29.90,1058.49,33.51,-8.14,41.65,11.78,0.83,24.87,-1.51,385,47,4,44.38,134,38,124,57.00,43.00,676.74,1579.32,676.74,902.58,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
