ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
20621,112,43,14.77,18.47,32.79,1411.36,45.75,-10.56,56.32,32.72,-1.52,32.72,-1.52,182,52,1,109.76,122,5,122,5.00,51.00,341.49,1826.66,341.49,1485.16,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
20623,116.49,32.02,21.17,14.67,38.40,852.72,40.62,2.41,38.21,25.77,10.73,30.68,10.73,764,106,23,40.17,291,96,242,96.00,83.00,1193.64,2307.83,1193.64,1114.19,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
20624,105.91,36.98,19.93,19.40,42.67,1059.90,44.08,-1.38,45.46,31.82,7.51,32.35,7.51,175,33,1,78.23,89,5,83,5.00,32.00,329.11,2226.16,329.11,1897.05,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
20625,114,37,21.87,17.25,39.94,1023.08,43.91,0.71,43.20,33.90,9.85,33.90,9.85,390,73,3,72.77,192,13,192,13.00,70.00,684.44,2351.19,684.44,1666.75,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
20627,96.83,37.10,13.47,22.10,40.97,1167.94,41.84,-12.10,53.94,28.22,-0.36,28.22,-0.53,55,15,0,96.14,39,2,39,3.00,15.00,107.58,1714.47,107.58,1606.88,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
20628,112.74,42.37,7.67,17.13,30.85,1484.72,34.69,-20.84,55.53,25.65,-10.16,25.65,-10.16,215,59,1,108.91,144,5,144,5.00,58.00,399.11,1202.30,399.11,803.19,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
20630,93.83,31.57,8.52,16.72,46.23,579.94,30.63,-5.53,36.17,15.25,1.52,16.20,1.52,425,100,5,87.41,185,19,168,19.00,95.00,737.63,1275.85,737.63,538.22,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
20631,106.20,37.99,12.59,16.55,34.14,1217.36,35.96,-12.53,48.49,25.51,-2.66,26.15,-2.66,204,46,1,90.39,121,4,112,4.00,45.00,380.05,1637.02,380.05,1256.98,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
20636,113.12,37.29,8.24,14.90,35.70,966.14,27.82,-13.91,41.73,19.59,-4.28,19.59,-4.28,844,176,11,73.31,412,40,412,40.00,165.00,1251.48,1251.48,1287.09,0.00,35.60,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
