ID,longitude,latitude,bio1:TMeanY,bio2:TMeanRngD,bio3:TIso,bio4:TSeason,bio5:TMaxWarmM,bio6:TMinColdM,bio7:TRngY,bio8:TMeanWetQ,bio9:TMeanDryQ,bio10:TMeanWarmQ,bio11:TMeanColdQ,bio12:PTotY,bio13:PWetM,bio14:PDryM,bio15:PSeason,bio16:PWetQ,bio17:PDryQ,bio18:PWarmQ,bio19:PColdQ,bioX0:PDiffWetDryM,bioX1:NPP,bioX2:NPPt,bioX3:NPPp,bioX4:NPPtSlack,bioX5:NPPpSlack,Z:Continent,Z:AsiaFocus,Z:ExtendedFocus,Rectangle:NorthEast,Rectangle:SouthEast,Rectangle:SouthWest,Rectangle:NorthWest,Rectangle:NorthMid,Rectangle:ExtensionNorthEast,Rectangle:ExtensionNorthMid,Rectangle:ExtensionKorea,Rectangle:ExtensionWest
enabled_col,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
28736,88.50,46.62,4.50,12.40,23.43,1504.14,28.14,-24.80,52.94,19.77,-12.43,21.55,-15.39,166,23,6,32.12,55,22,54,25.00,17.00,313.10,943.28,313.10,630.18,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
27706,77.05,30.88,18.72,10.74,39.97,542.75,31.21,4.33,26.88,22.62,15.58,24.66,11.34,1425,431,13,110.51,943,90,607,170.00,418.00,1835.36,2140.64,1835.36,305.29,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
28734,111.55,42,3.68,12.07,25.58,1288.15,25.39,-21.79,47.18,18.68,-13.02,18.68,-13.02,231,69,2,107.87,151,8,151,8.00,67.00,426.60,881.35,426.60,454.75,0.00,C:EU,Out,In,Out,Out,Out,Out,Out,Out,Out,Out,In
26496,95,39.50,0.11,13.95,34.33,983.35,20.08,-20.56,40.64,12.13,-10.80,12.13,-12.11,82,22,1,92.67,54,3,54,4.00,21.00,158.98,641.53,158.98,482.55,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,In
26595,69,29,24.49,15.05,41.99,792.21,41.10,5.26,35.84,32.82,19.69,32.94,13.77,163,42,3,86.27,91,13,58,28.00,39.00,307.74,2495.77,307.74,2188.02,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21667,69.15,29.03,23.71,14.76,41.39,792.33,40.22,4.57,35.65,32.05,18.94,32.16,12.99,189,49,3,90.30,108,13,70,30.00,46.00,353.82,2455.62,353.82,2101.80,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21668,69.15,29.03,23.71,14.76,41.39,792.33,40.22,4.57,35.65,32.05,18.94,32.16,12.99,189,49,3,90.30,108,13,70,30.00,46.00,353.82,2455.62,353.82,2101.80,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
21669,69.15,29.03,23.71,14.76,41.39,792.33,40.22,4.57,35.65,32.05,18.94,32.16,12.99,189,49,3,90.30,108,13,70,30.00,46.00,353.82,2455.62,353.82,2101.80,0.00,C:EU,In,In,Out,Out,Out,In,Out,Out,Out,Out,Out
26498,103.47,35.47,5.57,11.84,33.21,854.81,22.44,-13.21,35.65,14.65,-5.76,15.49,-5.76,500,101,1,87.45,274,7,258,7.00,100.00,847.54,1027.50,847.54,179.96,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
26499,103.50,35.52,5.57,11.84,33.21,854.81,22.44,-13.21,35.65,14.65,-5.76,15.49,-5.76,500,101,1,87.45,274,7,258,7.00,100.00,847.54,1027.50,847.54,179.96,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
24048,104.37,20.94,20.40,8.24,45.47,389.30,28.76,10.64,18.12,24.32,15.99,24.32,15.01,1388,304,6,91.65,784,39,784,47.00,298.00,1806.39,2257.84,1806.39,451.45,0.00,C:EU,In,In,In,Out,Out,Out,Out,Out,Out,Out,Out
24505,104,36,5.03,11.43,32.17,870.96,22.15,-13.37,35.51,14.28,-6.33,15.38,-6.33,400,87,1,90.67,226,5,218,5.00,86.00,699.76,984.54,699.76,284.78,0.00,C:EU,In,In,Out,Out,Out,Out,In,Out,Out,Out,Out
