ID,MEAN_HYP,MEAN_AL,MEAN_OL,MEAN_SF,MEAN_OT,MEAN_OO,MEAN_BU,NB_SPC # type=N
enabled_col,T,T,T,T,T,T,T,F
20621,1.353,0.647,0.294,0.000,0.059,0.118,0.118,17
20623,1.000,0.750,0.312,0.000,0.000,0.000,0.250,17
20624,1.667,0.167,0.333,0.000,0.167,0.167,0.500,6
20625,1.222,0.889,0.556,0.000,0.000,0.111,0.000,9
20627,1.917,0.333,0.667,0.000,0.083,0.500,0.000,12
20628,1.000,1.000,0.000,0.000,0.000,0.000,0.000,5
20630,2.250,0.500,0.750,0.000,0.250,0.250,0.000,4
20631,1.750,0.250,1.000,0.000,0.250,0.250,0.000,4
20636,2.000,0.333,0.667,0.000,0.333,0.167,0.000,6
20638,2.222,0.222,0.778,0.000,0.333,0.333,0.000,9
20919,1.833,0.167,0.500,0.000,0.333,0.167,0.333,6
20921,2.000,0.167,0.667,0.000,0.333,0.333,0.167,6
20922,2.200,0.400,0.600,0.000,0.400,0.200,0.000,6
20923,2.000,0.400,0.800,0.000,0.400,0.200,0.000,5
20925,1.667,0.444,0.333,0.000,0.222,0.111,0.222,10
20927,1.500,0.250,0.250,0.000,0.000,0.250,0.500,4
20943,1.333,0.667,0.167,0.000,0.167,0.000,0.167,6
20946,1.167,0.333,0.167,0.000,0.000,0.056,0.500,18
20947,1.500,0.750,0.500,0.000,0.250,0.000,0.000,4
20964,1.800,0.600,0.600,0.000,0.200,0.200,0.000,5
20968,1.000,0.625,0.125,0.000,0.000,0.000,0.250,8
20973,1.000,1.000,0.333,0.000,0.000,0.000,0.000,3
20975,1.000,0.600,0.000,0.000,0.000,0.000,0.400,5
20978,1.750,0.250,0.375,0.000,0.125,0.250,0.375,8
20985,1.500,0.250,0.250,0.000,0.000,0.250,0.500,4
21667,1.000,0.889,0.444,0.000,0.000,0.000,0.111,18
21668,1.000,0.571,0.286,0.000,0.000,0.000,0.286,7
21669,1.000,0.625,0.375,0.000,0.000,0.000,0.312,16
21670,2.000,0.333,0.333,0.000,0.333,0.000,0.333,3
23040,1.889,0.333,0.889,0.000,0.222,0.444,0.000,10
23055,2.000,0.333,0.667,0.000,0.333,0.333,0.000,3
23192,1.000,0.333,0.333,0.000,0.000,0.000,0.500,7
23193,1.000,0.222,0.333,0.000,0.000,0.000,0.444,9
23194,1.000,0.500,0.000,0.000,0.000,0.000,0.500,5
23195,1.000,0.500,0.250,0.000,0.000,0.000,0.500,4
23196,1.429,0.571,0.500,0.000,0.071,0.071,0.143,15
23198,1.500,0.167,0.500,0.000,0.167,0.167,0.333,7
24048,1.000,0.667,0.500,0.000,0.000,0.000,0.333,6
24054,1.286,0.286,0.286,0.000,0.000,0.143,0.429,8
24059,1.000,0.286,0.286,0.000,0.000,0.000,0.571,7
24220,1.400,0.600,0.400,0.000,0.200,0.000,0.200,5
24468,1.500,0.500,0.750,0.000,0.250,0.250,0.000,4
24470,1.800,0.600,0.600,0.000,0.000,0.200,0.000,5
24471,2.125,0.375,0.750,0.000,0.250,0.250,0.125,8
24472,1.857,0.286,0.857,0.000,0.143,0.571,0.000,7
24474,1.429,0.429,0.714,0.000,0.143,0.286,0.143,7
24475,1.500,0.833,0.333,0.000,0.167,0.000,0.000,6
24476,1.500,0.750,0.417,0.000,0.083,0.167,0.000,12
24477,1.833,0.500,0.667,0.000,0.333,0.167,0.000,6
24480,1.667,0.667,0.667,0.000,0.333,0.000,0.000,3
24482,2.000,0.444,0.667,0.000,0.222,0.333,0.000,9
24485,1.889,0.444,0.556,0.000,0.111,0.333,0.111,10
24486,2.000,0.300,0.700,0.000,0.100,0.600,0.000,11
24487,1.800,0.400,1.000,0.000,0.200,0.400,0.000,6
24490,2.250,0.250,0.750,0.000,0.500,0.250,0.000,5
24492,1.333,0.667,0.333,0.000,0.000,0.333,0.000,4
24496,1.667,0.556,0.556,0.000,0.222,0.111,0.111,9
24499,1.667,0.333,0.333,0.000,0.000,0.333,0.333,3
24500,1.875,0.375,0.875,0.000,0.375,0.125,0.000,8
24501,2.000,0.200,0.800,0.000,0.400,0.200,0.000,6
24504,2.400,0.400,0.800,0.000,0.400,0.200,0.000,6
24505,1.000,0.500,0.250,0.000,0.000,0.000,0.500,4
24511,1.000,0.333,0.667,0.000,0.000,0.000,0.333,3
24513,1.778,0.444,0.667,0.000,0.111,0.444,0.000,10
24514,1.875,0.250,0.625,0.000,0.125,0.500,0.125,9
24515,1.778,0.444,0.667,0.000,0.111,0.333,0.000,10
24516,2.133,0.267,0.733,0.000,0.200,0.467,0.067,16
24517,2.000,0.400,0.700,0.000,0.100,0.500,0.000,11
24518,1.875,0.312,0.750,0.000,0.125,0.438,0.062,17
24519,1.889,0.333,0.667,0.000,0.167,0.333,0.167,19
24520,1.529,0.353,0.706,0.000,0.059,0.412,0.118,18
24521,1.714,0.429,0.714,0.000,0.143,0.286,0.143,7
24522,1.800,0.400,0.600,0.000,0.200,0.200,0.200,6
24524,1.000,0.600,0.200,0.000,0.000,0.000,0.200,5
24525,1.000,0.667,0.083,0.000,0.000,0.000,0.250,12
24528,1.833,0.667,0.667,0.000,0.083,0.250,0.000,13
24529,1.800,0.600,0.800,0.000,0.100,0.300,0.000,11
24531,1.250,0.500,0.125,0.000,0.125,0.000,0.375,8
24532,1.000,0.000,0.333,0.000,0.000,0.000,0.667,3
24534,1.000,0.000,0.000,0.000,0.000,0.000,1.000,4
24535,1.000,0.000,0.000,0.000,0.000,0.000,1.000,3
24540,1.619,0.476,0.476,0.000,0.190,0.190,0.143,21
24541,1.500,0.500,0.500,0.000,0.250,0.000,0.250,4
24542,1.625,0.250,0.625,0.000,0.125,0.500,0.125,8
24543,1.571,0.286,0.571,0.000,0.143,0.429,0.143,7
24544,1.500,0.375,0.625,0.000,0.125,0.375,0.125,8
24547,1.400,0.400,0.400,0.000,0.000,0.400,0.200,5
24560,2.000,0.333,0.667,0.000,0.333,0.167,0.000,6
24571,1.429,0.571,0.286,0.000,0.143,0.000,0.286,7
24572,1.857,0.429,0.643,0.000,0.214,0.286,0.071,14
24573,1.300,0.600,0.300,0.000,0.100,0.100,0.200,10
24596,1.333,0.333,0.333,0.000,0.000,0.000,0.667,3
24631,2.500,0.250,0.750,0.000,0.500,0.250,0.000,5
24916,1.500,0.500,0.750,0.000,0.000,0.250,0.250,4
24917,1.500,0.667,0.667,0.000,0.167,0.000,0.167,6
24918,1.750,0.500,0.750,0.000,0.250,0.000,0.250,4
24919,1.714,0.571,0.571,0.000,0.143,0.286,0.000,7
24920,2.375,0.125,1.000,0.000,0.625,0.125,0.000,8
24921,1.769,0.346,0.769,0.000,0.115,0.462,0.038,26
24922,1.500,0.500,0.583,0.000,0.083,0.250,0.083,12
26440,1.571,0.571,0.429,0.000,0.143,0.143,0.143,7
26442,1.600,0.400,0.600,0.000,0.200,0.200,0.200,5
26445,2.333,0.000,1.000,0.000,0.667,0.000,0.000,3
26446,1.667,0.667,0.667,0.000,0.333,0.000,0.000,3
26452,1.667,0.667,0.333,0.000,0.000,0.333,0.000,4
26453,1.000,0.600,0.400,0.000,0.000,0.000,0.200,5
26454,1.500,0.500,0.667,0.000,0.167,0.000,0.167,6
26455,1.750,0.500,0.625,0.000,0.125,0.250,0.000,8
26463,1.800,0.400,0.600,0.000,0.200,0.200,0.200,5
26464,1.800,0.600,0.600,0.000,0.200,0.200,0.000,5
26477,1.625,0.500,0.500,0.000,0.125,0.125,0.250,8
26478,1.000,0.800,0.400,0.000,0.000,0.000,0.000,5
26496,1.500,0.250,0.250,0.000,0.000,0.250,0.500,4
26498,1.000,0.333,0.333,0.000,0.000,0.000,0.667,3
26499,1.400,0.600,0.400,0.000,0.200,0.000,0.200,5
26500,1.364,0.364,0.364,0.000,0.091,0.091,0.364,11
26501,1.667,0.333,0.833,0.000,0.167,0.167,0.167,6
26502,1.400,0.800,0.400,0.000,0.200,0.000,0.000,5
26503,1.857,0.429,0.714,0.000,0.286,0.143,0.143,7
26523,2.000,0.500,0.600,0.000,0.200,0.300,0.000,10
26568,1.000,0.444,0.222,0.000,0.000,0.111,0.444,9
26569,2.000,0.400,0.600,0.000,0.200,0.400,0.000,5
26570,1.185,0.444,0.333,0.000,0.000,0.185,0.333,27
26583,1.000,0.500,0.250,0.000,0.000,0.000,0.500,5
26586,1.167,0.583,0.250,0.000,0.000,0.250,0.167,13
26595,1.000,1.000,0.667,0.000,0.000,0.000,0.000,6
26596,1.000,1.000,0.500,0.000,0.000,0.000,0.000,4
27060,1.545,0.545,0.364,0.091,0.000,0.091,0.273,11
27156,1.333,0.333,0.333,0.000,0.000,0.333,0.333,3
27705,1.000,0.727,0.091,0.000,0.000,0.000,0.273,11
27706,1.000,0.750,0.125,0.000,0.000,0.000,0.250,8
27712,1.462,0.308,0.231,0.000,0.000,0.154,0.538,13
