ID,LONG,LAT,rA,rB,rC,rD,rE,rF,rG,rH,rI,rAa,rAb,rCa,rCb,rAc,rBc,rCc,rHl,rHu
126999,67.976800,49.575830,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
127000,68.669500,49.575830,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
127001,69.362200,49.575830,2,0,0,2,3,2,0,2,0,2,2,3,0,3,1,1,2,2
127007,73.518200,49.575830,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
127008,74.210900,49.575830,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
127009,74.903600,49.575830,2,0,0,2,3,2,2,2,0,2,2,3,0,3,1,1,2,2
127010,75.596200,49.575830,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
127011,76.288900,49.575830,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
127012,76.981600,49.575830,2,3,3,2,3,2,2,2,0,2,2,3,3,3,2,2,2,2
127013,77.674200,49.575830,2,0,0,2,3,1,2,2,3,2,2,3,0,3,1,1,2,2
127020,82.523000,49.575830,2,0,0,2,3,1,2,0,3,2,2,3,0,3,1,1,2,0
127021,83.215600,49.575830,2,0,0,2,3,1,2,0,3,2,2,3,0,3,1,1,2,0
127022,83.908300,49.575830,2,0,0,2,3,1,2,2,3,2,2,3,0,3,1,1,2,2
127023,84.601000,49.575830,2,0,0,2,3,1,2,2,3,2,2,3,0,3,1,1,2,2
127024,85.293600,49.575830,2,0,0,2,3,1,2,0,3,2,2,3,0,3,1,1,2,0
127025,85.986300,49.575830,2,3,0,2,3,1,2,0,3,2,2,3,0,3,2,1,2,0
127026,86.679000,49.575830,2,3,3,2,3,1,2,3,3,2,2,3,3,3,2,2,1,3
127027,87.371700,49.575830,2,3,3,2,3,2,2,3,0,2,2,3,3,3,2,2,1,3
127028,88.064300,49.575830,2,3,3,2,3,2,2,3,0,2,2,3,3,3,2,2,1,3
127029,88.757000,49.575830,2,3,3,2,3,2,2,3,0,2,2,3,3,3,2,2,1,3
127030,89.449700,49.575830,2,3,3,2,3,2,1,3,0,2,2,3,3,3,2,2,1,3
127031,90.142400,49.575830,2,3,3,2,3,2,3,3,0,2,2,3,3,3,2,2,1,3
127032,90.835000,49.575830,2,3,3,2,3,2,3,3,0,2,2,3,3,3,2,2,1,3
127033,91.527700,49.575830,2,3,3,0,3,0,1,3,0,2,2,3,3,3,2,2,1,3
127034,92.220400,49.575830,2,3,3,2,3,0,3,3,0,2,2,3,3,3,2,2,1,3
127035,92.913000,49.575830,2,3,0,0,3,3,0,0,3,2,2,3,0,3,2,1,2,0
